fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid16,carla,fid16,mc,pre,p3,left,43,1.717,10.9385,193.9785,18.6655,14.815,17.2565,6.767,202.5725,36.462,1.717,10.9385,193.9785
fid17,amanda,fid17,mc,post,p1,none,41,7.554,17.161,42.72,30.87,79.817,34.174,4.268,106.735,45.656,11.291,17.161,42.72
fid17,amanda,fid17,mc,pre,p1,none,48.5,18.674,1.2995,19.95,18.417,69.136,34.969,0.4,129.1295,47.179,244.9825,1.2995,19.95
fid17,amanda,fid17,mc,post,p2,right,9,0,1.416,0,0,0,0,0,286.394,11.208,300,1.416,300
fid17,amanda,fid17,mc,pre,p2,right,18,0,8.2975,24.354,4.4,240.9355,39.9065,0,6.539,4.9425,300,8.2975,24.354
fid17,amanda,fid17,mc,post,p3,left,11,0,0.329,0,0,0,0,0,288.7855,10.8095,300,0.329,300
fid17,amanda,fid17,mc,pre,p3,left,30,57.8835,24.5435,0.677,25.041,21.8725,36.6545,3.406,188.3015,23.086,57.8835,24.5435,0.677
fid18,anna,fid18,mc,post,p1,none,40.5,2.5915,21.2775,9.2655,9.9465,13.513,22.7035,6.0765,222.8405,23.5215,2.5915,21.2775,9.2655
fid18,anna,fid18,mc,pre,p1,none,57,0,0.658,54.9925,9.3,66.5455,32.817,0,162.067,26.9985,300,0.658,54.9925
fid18,anna,fid18,mc,post,p2,right,20.5,254.27,0.681,241.22,1.333,9.3415,4.173,2.27,269.9945,11.9835,254.27,0.681,241.22
fid18,anna,fid18,mc,pre,p2,left,78,77.615,1.0095,126.9005,17.5345,49.4625,22.3075,0.803,177.8305,29.2075,227.6985,1.0095,126.9005
fid18,anna,fid18,mc,post,p3,left,40,48.483,0.263,92.0895,7.8735,16.012,12.681,1.0675,241.2055,20.896,198.545,0.263,92.0895
fid18,anna,fid18,mc,pre,p3,right,90,0,4.1435,5.6165,25.494,59.788,38.9435,0,129.5265,46.396,300,4.1435,5.6165
fid19,allison,fid19,mc,post,p1,none,59,11.061,29.479,43.8615,25.3555,65.5585,49.3045,59.1285,47.952,50.5825,11.061,29.479,43.8615
fid19,allison,fid19,mc,pre,p1,none,82.5,28.665,12.248,36.269,38.0805,37.4475,66.3035,60.2645,29.061,68.4415,28.665,12.248,36.269
fid19,allison,fid19,mc,post,p2,left,60,0,66.0005,0.682,24.3235,139.5695,71.524,0,23.522,40.707,300,66.0005,0.682
fid19,allison,fid19,mc,pre,p2,right,100.5,25.5125,30.7185,6.9965,27.267,56.797,59.6645,53.0255,53.7765,49.009,25.5125,30.7185,6.9965
fid19,allison,fid19,mc,post,p3,right,45.5,55.9345,7.1035,0.713,41.3775,24.553,32.883,58.7075,91.0465,47.067,55.9345,7.1035,0.713
fid19,allison,fid19,mc,pre,p3,left,82,54.193,37.8285,1.3875,31.5005,40.388,70.7565,89.348,19.022,46.54,54.193,37.8285,1.3875
fid2,daisy,fid2,mc,post,p1,none,80,10.387,13.592,5.817,18.685,29.097,32.231,10.814,163.088,44.31,10.387,13.592,5.817
fid2,daisy,fid2,mc,pre,p1,none,38,12.702,3.654,16.926,12.326,210.932,32.828,13.986,9.347,17.411,12.702,3.654,16.926
fid2,daisy,fid2,mc,post,p2,left,55,0,2.058,43.414,4.539,10.408,4.003,0,236.203,43.62,300,2.058,43.414
