fishID,half,prePost,largeMalePosition,fishName,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1,trial duration
fid18,p3,pre,right,anna,90,0,4.1435,5.6165,25.494,59.788,38.9435,0,128.5955,46.396,300,4.1435,5.6165,-299.9905
fid19,p1,post,none,allison,59,11.061,29.479,43.8615,25.3555,65.5585,49.3045,59.1285,47.952,50.5825,11.061,29.479,43.8615,-300
fid19,p1,pre,none,allison,82.5,28.665,12.248,36.269,38.0805,37.4475,66.3035,60.2645,29.061,68.4415,28.665,12.248,36.269,-299.7775
fid19,p2,post,left,allison,60,0,66.0005,0.682,24.3235,139.5695,71.524,0,23.522,40.707,300,66.0005,0.682,-299.881
fid19,p2,pre,right,allison,100.5,25.5125,30.7185,6.9965,27.267,56.797,59.6645,53.0255,53.7765,49.009,25.5125,30.7185,6.9965,-299.8
fid19,p3,post,right,allison,45.5,55.9345,7.1035,0.713,41.3775,24.553,32.883,58.7075,91.0465,47.067,55.9345,7.1035,0.713,-299.956
fid19,p3,pre,left,allison,82,54.193,37.8285,1.3875,31.5005,40.388,70.7565,89.348,19.022,46.54,54.193,37.8285,1.3875,-300
fid2,p1,post,none,daisy,80,10.387,13.592,5.817,18.685,29.097,32.231,10.814,163.088,44.31,10.387,13.592,5.817,-300
fid2,p1,pre,none,daisy,38,12.702,3.654,16.926,12.326,210.932,32.828,13.506,9.347,17.411,12.702,3.654,16.926,-300
fid2,p2,post,left,daisy,55,0,2.058,43.414,4.539,10.408,4.003,0,236.203,43.62,300,2.058,43.414,-300
fid2,p2,pre,right,daisy,27,227.286,142.817,0.241,11.209,210.708,17.755,3.839,42.976,12.413,227.286,142.817,0.241,-300
fid2,p3,post,right,daisy,65,77.22,85.064,1.645,10.411,103.355,27.758,6.409,120.373,32.036,77.22,85.064,1.645,-300
fid2,p3,pre,left,daisy,19,0,0.253,127.093,6.338,151.299,20.763,0,116.951,4.802,300,0.253,127.093,-300
fid20,p1,post,none,daniela,56,1.077,11.4535,29.815,17.255,42.8855,41.855,62.2825,89.9565,41.461,1.077,11.4535,29.815,-300
fid20,p1,pre,none,daniela,58,8.873,76.974,27.309,22.647,19.89,28.0295,42.015,150.044,36.0525,8.873,76.974,27.309,-299.5095
fid20,p2,post,left,daniela,39.5,120.1675,89.103,0.783,7.473,111.364,26.1915,11.711,127.8165,14.446,120.1675,89.103,0.783,-300
fid20,p2,pre,right,daniela,47,241.753,0.5635,190.283,8.893,24.393,9.081,6.852,206.6785,43.188,241.753,0.5635,190.283,-300
fid20,p3,post,right,daniela,53,241.141,1.309,147.646,12.2965,23.3505,23.7955,26.094,174.2045,34.882,241.141,1.309,147.646,-300
fid20,p3,pre,left,daniela,54,188.493,190.744,0.196,4.5155,181.722,75.317,5.7295,22.6035,7.478,188.493,190.744,0.196,-299.925
fid21,p1,post,largeMale,none,55,9.387,0.023,11.056,18.676,58.454,41.441,18.492,128.227,34.629,9.387,0.023,11.056,-299.942
fid21,p1,post,none,adele,56,26.7335,1.04,11.012,22.4425,50.455,46.8055,25.644,100.334,53.966,26.7335,1.04,11.012,-299.7875
fid21,p1,pre,none,adele,1,0.023,0,0,0,0,0,298.7175,0,0,1.187,300,300,-299.9045
fid21,p2,post,right,adele,68,12.324,17.229,3.617,14.007,61.652,26.421,26.68,134.726,33.496,12.324,17.229,3.617,-299.344
fid21,p2,pre,left,adele,1,0.013,0,0,0,0,0,297.0635,0,0,2.9365,300,300,-300
fid21,p3,post,left,adele,35,165.57,197.222,0.339,12.08,176.213,22.164,23.117,45.454,20.041,165.57,197.222,0.339,-300
fid21,p3,pre,right,adele,1,0.0115,0,0,0,0,0,298.789,0,0,0.023,300,300,-299.016
fid22,p1,post,none,bernadette,73,14.496,0.083,44.755,19.118,9.616,26.252,43.349,136.747,63.168,14.496,0.083,44.755,-299.035
fid22,p1,pre,none,bernadette,55,4.0445,0.1285,24.8965,9.341,10.426,12.5495,15.6825,223.985,27.811,4.0445,0.1285,24.8965,-300
fid22,p2,post,left,bernadette,33,7.489,0.023,19.032,1.869,4.003,5.073,15.946,247.953,24.862,7.489,0.023,19.032,-300
fid22,p2,pre,right,bernadette,50,0,0.3705,0,0,0,0,0,277.6725,21.0255,300,0.3705,300,-299.9045
fid22,p3,post,right,bernadette,23,0,0.267,0,0,0,0,0,290.009,9.734,300,0.267,300,-300
fid22,p3,pre,left,bernadette,28,70.9765,0.5235,76.5385,2.3,5.472,2.406,4.2765,262.08,23.0405,70.9765,0.5235,76.5385,-300
fid23,p1,post,none,bess,33,0.747,7.9,12.491,2.705,133.013,15.12,136.707,6.938,4.804,0.747,7.9,12.491,-300
fid23,p1,pre,none,bess,63.5,11.317,162.0755,78.0205,8.072,126.5675,46.803,51.116,49.932,18.0495,11.317,162.0755,78.0205,-299.9835
fid23,p2,post,left,bess,60,26.394,52.384,1.423,16.278,32.649,52.227,120.201,42.575,31.255,26.394,52.384,1.423,-299.903
fid23,p2,pre,right,bess,61,10.6255,0.0755,46.06,8.935,25.8015,17.4455,20.4605,202.6385,25.0045,10.6255,0.0755,46.06,-299.961
fid23,p3,post,right,bess,45,0.735,26.26,36.938,15.747,85.682,26.428,64.366,83.568,23.197,0.735,26.26,36.938,-300
fid23,p3,pre,left,bess,70,0.993,7.216,23.292,5.33,87.4725,48.8765,47.0655,78.2425,32.1265,0.993,7.216,23.292,-299.9585
fid24,p1,post,none,ariana,29,32.113,48.262,63.814,5.167,5.1,50.61,51.47,169.894,17.692,32.113,48.262,63.814,-299.905
fid24,p1,pre,none,ariana,42,31.5155,78.632,61.1735,30.344,190.51,28.4285,25.6885,13.2505,10.9135,31.5155,78.632,61.1735,-300
fid24,p2,post,left,ariana,23,265.884,0.023,138.56,6.804,121.726,25.217,4.768,129.728,7.214,265.884,0.023,138.56,-300
fid24,p2,pre,right,ariana,54,7.798,10.8685,1.525,2.833,5.6855,11.6175,11.158,253.18,13.6625,7.798,10.8685,1.525,-299.5615
fid24,p3,post,right,ariana,31,0.023,5.358,28.501,6.671,251.883,25.012,1.329,6.275,7.21,0.917,5.358,28.501,-300
fid24,p3,pre,left,ariana,40,161.8555,0.5735,156.2015,2.5345,107.947,22.0195,6.543,152.493,7.3065,161.8555,0.5735,156.2015,-300
fid25,p1,post,none,amy,29,0.023,74.365,34.381,8.103,193.405,32.995,53.472,6.132,5.738,0.023,74.365,34.381,-299.909
fid25,p1,pre,none,amy,46,61.552,1.2405,24.4635,7.4735,209.2405,38.5415,2.535,23.778,17.19,61.735,1.2405,24.4635,-299.9735
fid25,p2,post,left,amy,34,139.158,129.142,0.108,9.217,119.106,37.906,11.872,99.434,19.952,139.158,129.142,0.108,-300
fid25,p2,pre,right,amy,25.5,0,170.128,0.713,1.5345,161.5385,5.5395,0,127.0095,3.8725,300,170.128,0.713,-299.7575
fid25,p3,post,right,amy,31,48.065,0.023,89.995,0,87.314,18.988,66.032,105.204,18.276,48.065,0.023,89.995,-299.907
fid25,p3,pre,left,amy,59,155.282,0.1945,157.234,10.3975,34.4745,35.162,14.7,168.913,36.9335,155.282,0.1945,157.234,-300
fid26,p1,post,none,beverly,11,0,0.107,0,0,0,0,0,290.41,9.567,300,0.107,300,-300
fid26,p1,pre,none,beverly,93,2.5475,119.014,9.0215,17.3435,94.496,47.535,17.618,77.9585,44.5595,2.5475,119.014,9.0215,-299.4275
fid26,p2,post,left,beverly,31,209.111,0.092,225.962,9.767,20.702,13.812,23.359,220.358,14.022,209.111,0.092,225.962,-300
fid26,p2,pre,right,beverly,104.5,9.727,0.049,13.781,15.9315,43.0445,54.6955,75.1805,56.491,53.8685,9.727,0.049,13.781,-300
fid26,p3,post,right,beverly,1,0,0.321,0,0,0,0,0,299.583,0,300,0.321,300,-300
fid26,p3,pre,left,beverly,88.5,114.8795,1.5285,13.092,20.4665,69.2105,73.7135,49.9645,41.916,44.9275,114.8795,1.5285,13.092,-300
fid27,p1,post,none,amber,9,172.87,5.166,0,1.603,0,0,127.116,60.228,108.118,172.87,5.166,300,-299.918
fid27,p2,post,right,amber,21,2.4815,0,93.206,0.5345,178.0185,42.1385,59.3395,0,17.7015,2.4815,300,93.206,-299.936
fid27,p3,post,left,amber,26.5,2.18,93.801,121.563,15.8115,21.8545,9.3435,204.628,9.3815,36.334,2.18,93.801,121.563,-299.945
fid28,p1,post,none,becca,65.5,7.0985,0.8775,16.728,12.748,152.878,35.504,9.5255,61.168,26.084,7.0985,0.8775,16.728,-299.992
fid28,p2,post,right,becca,72.5,15.2245,19.1075,1.437,2.939,170.1565,28.7995,13.146,68.8015,13.303,15.2245,19.1075,1.437,-299.9615
fid28,p3,post,left,becca,49,0.6935,19.9875,6.045,2.5345,230.442,37.3725,17.2155,1.4495,8.188,0.6935,19.9875,6.045,-300
fid29,p1,pre,none,alice,23,49.0005,242.2115,15.386,15.182,33.7045,31.6695,191.029,15.4165,9.0075,49.2175,242.2115,15.4695,-299.983
fid29,p2,pre,right,alice,44.5,33.057,18.6405,0.6435,11.6615,40.7005,21.475,113.36,76.244,35.393,33.057,18.6405,0.6435,-299.928
fid29,p3,pre,left,alice,38,4.6855,112.1345,38.492,18.0195,18.553,15.6145,206.1875,23.8095,14.56,4.6855,112.1345,38.492,-300
fid3,p1,post,none,diana,7,0,38.368,0,33.005,0,0,0,251.887,13.61,300,38.368,300,-299.871
fid3,p1,pre,none,diana,9,4.7,70.169,0,3.171,0,0,60.322,228.277,7.667,4.7,70.169,300,-300
fid3,p2,post,left,diana,1,0,1.049,0,0,0,0,0,298.188,0,300,1.049,300,-299.881
fid3,p2,pre,right,diana,26,124.656,0.023,48.889,12.816,6.677,22.685,17.113,194.707,43.75,124.656,0.023,48.889,-299.465
fid3,p3,post,right,diana,5,0,0.517,0,0,0,0,0,296.279,3.204,300,0.517,300,-300
fid3,p3,pre,left,diana,1,0,0.261,0,0,0,0,0,299.65,0,300,0.261,300,-300
fid30,p1,post,none,dawn,93,22.763,15.8555,3.12,9.644,166.102,44.951,13.5785,36.2865,26.2605,22.763,15.8555,3.12,-299.5535
fid30,p1,pre,none,dawn,68.5,44.159,1.5495,84.1155,20.8995,41.534,27.6975,55.322,123.8305,30.359,44.159,1.5495,84.1155,-300
fid30,p2,post,left,dawn,63,21.851,14.6755,1.5475,9.345,45.674,39.3635,25.4905,139.064,22.296,21.851,14.6755,1.5475,-300
fid30,p2,pre,right,dawn,127,7.3215,11.1075,0.853,34.485,43.8195,59.6275,25.135,77.419,58.223,7.3215,11.1075,0.853,-299.698
fid30,p3,post,right,dawn,9,0,0.451,0,0,0,0,0,295.8445,3.7555,300,0.451,300,-300
fid30,p3,pre,left,dawn,136.5,14.3595,0.5545,8.622,31.1025,63.392,58.088,19.0905,75.7925,50.275,14.3595,0.5545,8.622,-300
fid31,p1,post,none,bailey,41,10.726,1.793,33.975,17.1975,49.5155,36.1795,68.067,81.9405,48.536,10.726,1.793,33.975,-299.973
fid31,p1,pre,none,bailey,63.5,0.6735,70.065,52.7085,31.354,78.099,39.5015,55.888,50.418,42.961,0.6735,70.065,52.7085,-299.91
fid31,p2,post,right,bailey,37.5,0,2.904,195.5955,24.574,19.7875,24.1575,0,186.171,45.0175,300,2.904,195.5955,-300
fid31,p2,pre,left,bailey,30,36.288,76.6535,0.5425,6.7405,211.832,45.713,0.401,21.687,11.4125,192,76.6535,0.5425,-299.903
fid31,p3,post,left,bailey,18.5,103.7615,2.7695,201.7235,7.0745,2.8015,5.874,0.2665,267.5705,9.679,253.7945,2.7695,201.7235,-297.774
fid31,p3,pre,right,bailey,54.5,4.6945,14.349,1.3595,46.1155,42.81,60.088,6.6065,89.4065,51.447,4.6945,14.349,1.3595,-300
fid32,p1,post,none,claire,30,3.423,29.586,47.669,14.69,33.9,21.352,14.946,194.857,17.616,3.423,29.586,47.669,-299.142
fid32,p1,pre,none,claire,28,4.02,139.828,193.681,28.83,69.4335,40.9125,95.594,36.169,22.542,4.02,139.828,193.681,-300
fid32,p2,post,left,claire,5,0,0.237,0,0,0,0,0,293.452,4.267,300,0.237,300,-299.406
fid32,p2,pre,right,claire,5,0,0,1.009,4.0555,286.373,7.695,0,0,0,300,300,1.009,-300
fid32,p3,post,right,claire,1,0,0.195,0,0,0,0,0,299.805,0,300,0.195,300,-300
fid32,p3,pre,left,claire,3,0,0,0.699,0,291.35,6.673,0,0,0,300,300,0.699,-300
fid33,p1,post,none,barbara,23,0,15.301,4.888,8.009,252.005,16.013,0,16.419,6.668,300,15.301,4.888,-300
fid33,p2,post,right,barbara,15,0,264.016,0.078,2.569,275.916,12.543,0,4.671,3.736,300,264.016,0.078,-300
fid33,p3,post,left,barbara,13,0,0,0.086,5.61,280.363,9.948,0,0,3.736,300,300,0.086,-299.926
fid34,p1,post,none,charlotte,78,17.118,24.489,12.376,40.563,73.407,42.981,33.746,72.074,36.642,17.118,24.489,12.376,-300
fid34,p1,pre,none,charlotte,39.5,3.601,9.275,26.714,15.2175,15.891,10.143,12.142,214.9265,28.102,3.601,9.275,26.714,-300
fid34,p2,post,charlotte,INT.csv,47,0.893,12.972,2.029,10.751,6.676,12.378,5.368,235.094,28.594,0.893,12.972,2.029,-299.754
fid34,p2,post,left,charlotte,26,0.16,13.091,2.4125,7.5915,6.4045,10.8095,8.811,251.754,13.996,0.16,13.091,2.4125,-299.89
fid34,p2,pre,right,charlotte,70.5,159.597,1.477,162.839,19.781,18.9495,21.628,18.569,175.122,41.6455,159.597,1.477,162.839,-300
fid34,p3,post,right,charlotte,7,0,0.222,0,0,0,0,0,292.044,7.876,300,0.222,300,-300
fid34,p3,pre,left,charlotte,44,51.992,1.174,56.9745,21.7565,11.2085,22.761,3.068,190.775,46.159,52.673,1.174,56.9745,-300
fid35,p1,post,none,beatrice,22,0.65,65.781,0,7.207,0,14.143,27.321,225.945,24.121,0.65,65.781,300,-299.907
fid35,p2,post,right,beatrice,18,94.649,0.788,116.775,30.395,128.623,16.891,24.719,85.671,13.948,94.649,0.788,116.775,-299.975
fid35,p3,post,left,beatrice,33,0,18.664,0.099,26.664,171.78,38.435,0,31.126,30.4,300,18.664,0.099,-300
fid36,p1,post,none,bethany,39,1.397,6.855,34.828,22.56,9.344,19.884,2.1,210.189,34.962,2.594,6.855,34.828,-300
fid36,p1,pre,none,bethany,75.5,2.1715,32.468,47.891,32.8755,57.378,54.689,20.4195,83.6515,46.0755,2.1715,32.468,47.891,-300
fid36,p2,post,left,bethany,19,0,0.264,134.198,16.081,159.955,19.521,0,83.816,17.18,300,0.264,134.198,-300
fid36,p2,pre,right,bethany,49.5,207.0565,1.8305,212.664,22.292,2.4185,23.885,19.063,181.971,36.974,207.0565,1.8305,212.664,-149.9005
fid36,p3,post,right,bethany,68,0.242,4.525,88.863,52.606,17.649,30.702,60.413,72.344,63.138,0.242,4.525,88.863,-300
fid36,p3,pre,left,bethany,81,102.985,46.679,76.693,35.605,59.347,58.9005,13.7465,68.7335,56.2005,102.985,46.679,76.693,-299.8685
fid37,p1,post,none,bianca,15,0.784,47.867,33.186,2.405,228.655,15.479,15.221,4.541,20.925,0.784,47.867,33.186,-289.904
fid37,p1,pre,none,bianca,22,23.2455,15.6375,1.177,7.2495,229.0315,14.828,35.393,5.2715,7.172,23.2455,15.6375,1.177,-299.9605
fid37,p2,post,right,bianca,11,0,152.195,0.242,6.13,143.687,9.842,0,128.566,11.108,300,152.195,0.242,-299.834
fid37,p2,pre,left,bianca,39.5,15.754,3.119,35.1505,8.063,163.1565,20.621,0.6675,88.6245,13.4525,186.0745,3.119,35.1505,-299.891
fid37,p3,post,left,bianca,1,0,0.023,0,0,0,0,0,299.855,0,300,0.023,300,-299.967
fid37,p3,pre,right,bianca,44.5,104.1635,0.956,37.3075,17.8925,-91.8125,30.892,1.6005,155.7485,35.629,104.1635,0.956,37.3075,-150
fid38,p1,post,none,audrey,34,0.788,28.853,10.934,11.121,44.048,24.862,19.485,183.173,14.274,0.788,28.853,10.934,-299.946
fid38,p1,pre,none,audrey,13,60.135,2.461,93.2515,1.065,195.98,4.6695,30.6485,54.793,3.164,60.135,2.461,93.2515,-299.932
fid38,p2,post,left,audrey,1,0,0.058,0,0,0,0,0,299.66,0,300,0.058,300,-300
fid38,p2,pre,right,audrey,27,5.8855,9.8045,1.131,4.2765,5.2035,6.409,33.097,239.182,9.875,5.8855,9.8045,1.131,-299.8865
fid38,p3,post,right,audrey,4,0,4.241,0,0.934,0,0.7665,0,295.389,1.5515,300,4.241,300,-299.8965
fid38,p3,pre,left,audrey,3,0,1.0025,0,0,0,0,0,294.0005,1.8035,300,1.0025,300,-299.9105
fid39,p1,pre,none,alexandra,2.5,0,1.221,0,0,0,0,0,147.7125,2.5335,300,1.221,300,-150
fid39,p2,pre,right,alexandra,19,0,1.507,267.6795,7.4575,8.139,8.8455,0,109.625,14.6705,300,1.507,267.6795,-149.9295
fid39,p3,pre,left,alexandra,4,0,0,0.3605,0,296.9375,0.7995,0,0,0,300,300,0.3605,-299.9155
fid4,p1,post,none,beyonce,37,58.698,84.858,25.467,17.744,46.715,56.852,22.691,109.169,48.414,58.698,84.858,25.467,-300
fid4,p1,pre,none,beyonce,127.5,7.83,1.187,11.038,24.9725,72.6235,46.3765,22.951,79.419,52.6475,7.83,1.187,11.038,-300
fid4,p2,post,left,beyonce,69,164.688,221.198,5.816,9.343,107.036,85.898,34.589,25.094,35.117,164.688,221.198,5.816,-300
fid4,p2,pre,right,beyonce,106.5,5.5235,9.5,1.0195,18.6445,77.5755,71.509,22.3735,58.596,51.3085,5.5235,9.5,1.0195,-299.9495
fid4,p3,post,right,beyonce,16,1.052,0,22.66,1.863,258.819,21.094,18.303,0,0,1.052,300,22.66,-299.912
fid4,p3,pre,left,beyonce,102.5,2.924,27.3495,13.656,20.6855,60.872,63.189,38.0525,50.182,66.347,2.924,27.3495,13.656,-299.9375
fid5,p1,post,none,abigail,37,2.233,99.13,71.536,8.54,9.608,18.421,92.657,141.692,24.274,2.233,99.13,71.536,-300
fid5,p1,pre,none,abigail,46.5,1.1885,32.548,59.774,14.412,24.971,26.6815,45.244,152.99,36.3855,1.1885,32.548,59.774,-300
fid5,p2,post,right,abigail,37,0,1.263,29.558,4.27,14.713,20.554,0,214.395,43.786,300,1.263,29.558,-300
fid5,p2,pre,left,abigail,23,0,1.346,66.271,1.8665,202.0905,28.7005,0,56.856,2.808,300,1.346,66.271,-300
fid5,p3,post,left,abigail,14,149.598,0.122,0,6.673,0,0,10.949,270.418,10.946,149.598,0.122,300,-299.487
fid5,p3,pre,right,abigail,26,264.2185,189.055,0.1945,12.143,219.723,13.3495,1.8685,32.033,20.813,264.3345,189.055,0.1945,-300
fid6,p1,post,none,beth,53,5.245,2.142,11.275,12.542,127.23,46.446,29.895,45.95,38.974,5.245,2.142,11.275,-300
fid6,p2,post,right,beth,16,0,0,0.641,0,286.816,12.543,0,0,0,300,300,0.641,-299.957
fid6,p3,post,left,beth,6,0,0,0.872,0,296.157,3.737,0,0,0,300,300,0.872,-300
fid7,p1,post,none,bella,27,222.832,2.086,206.948,4.808,49.542,16.549,19.218,191.254,17.353,222.832,2.086,206.948,-299.942
fid7,p2,post,right,bella,35,123.17,127.233,1.543,9.781,128.396,65.664,44.603,16.016,34.325,123.17,127.233,1.543,-300
fid7,p3,post,left,bella,40,0.912,231.809,5.15,6.139,213.798,46.345,19.485,3.203,8.573,0.912,231.809,5.15,-297.854
fid8,p1,post,none,blossom,43,0.769,37.706,94.997,42.726,14.95,76.612,80.081,9.874,67.071,0.769,37.706,94.997,-299.904
fid8,p2,post,right,blossom,34,37.07,276.444,7.043,25.837,115.849,68.335,56.594,20.951,13.551,37.07,276.444,7.043,-300
fid8,p3,post,left,blossom,1,0,1.436,0,0,0,0,0,298.432,0,300,1.436,300,-300
fid9,p1,post,none,catalina,29,28.779,116.267,48.938,44.475,11.412,24.293,159.361,39.775,18.992,28.779,116.267,48.938,-300
