filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_post_fid1_p1_ADAMS_largeMale_none_barbie_LL.csv,16,ADAMS,p1,mc,fid1,none,post,24.261999999999986,0,24.557000000000002,63.26,170.409,16.816999999999993
mc_post_fid1_p1_BALLARD_largeMale_none_barbie_LL.csv,19,BALLARD,p1,mc,fid1,none,post,25.18899999999998,1.331000000000003,22.960000000000015,62.564,168.56799999999996,19.357000000000028
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,BAO,p1,mc,fid1,none,post,25.684999999999985,0,24.825000000000003,62.72600000000001,168.36699999999996,18.48300000000002
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,cornish,p1,mc,fid1,none,post,22.95799999999999,0,24.827000000000012,63.694,170.59199999999996,16.816000000000017
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,CUI,p1,mc,fid1,none,post,16.020000000000003,0,24.58699999999999,63.03100000000002,169.591,17.742999999999967
mc_post_fid1_p2_ADAMS_largeMale_right_barbie_LL.csv,13,ADAMS,p2,mc,fid1,right,post,0,0,0,0,291.15099999999995,8.807000000000052
mc_post_fid1_p2_BALLARD_largeMale_right_barbie_LL.csv,13,BALLARD,p2,mc,fid1,right,post,0,0,0,0,287.5920000000001,12.278999999999911
mc_post_fid1_p2_BAO_largeMale_right_barbie_LL.csv,15,BAO,p2,mc,fid1,right,post,0,0,0,0,288.122,10.947999999999965
mc_post_fid1_p2_cornish_largeMale_right_barbie_LL.csv,1,cornish,p2,mc,fid1,right,post,0,0,0,0,296.836,0
mc_post_fid1_p2_CUI_largeMale_right_barbie_LL.csv,1,CUI,p2,mc,fid1,right,post,0,0,0,0,299.131,0
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,ADAMS,p3,mc,fid1,left,post,10.94700000000006,8.804000000000002,20.29099999999997,6.2050000000000125,207.02199999999988,47.4140000000001
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,BALLARD,p3,mc,fid1,left,post,9.613,9.071999999999974,23.492999999999995,8.541000000000025,202.041,47.677000000000035
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,BAO,p3,mc,fid1,left,post,7.473000000000013,8.67300000000003,20.01299999999995,14.425999999999988,204.05999999999997,45.784000000000034
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,cornish,p3,mc,fid1,left,post,5.333000000000027,11.476999999999975,16.823000000000036,15.75200000000001,216.77699999999996,33.426000000000016
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,CUI,p3,mc,fid1,left,post,7.210000000000065,8.271999999999991,23.247999999999934,9.88500000000002,215.33499999999995,35.22500000000002
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,ADAMS,p1,mc,fid10,none,post,26.782000000000018,140.94100000000003,38.70899999999996,27.814000000000004,38.43499999999994,27.201000000000022
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,BALLARD,p1,mc,fid10,none,post,22.420000000000027,144.677,37.372999999999976,29.628,38.439,26.59399999999998
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,BAO,p1,mc,fid10,none,post,27.522999999999964,141.74300000000002,37.63599999999998,26.864,37.36500000000002,28.439000000000007
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,cornish,p1,mc,fid10,none,post,10.510999999999974,157.12900000000005,23.447999999999944,38.620999999999995,43.37000000000005,24.24900000000003
