filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant,latency_right_screen,latency_left_screen
mc_post_fid11_p1_FER300NDES_largeMale_none_bernice_LS.csv,74,FER300NDES,p1,mc,fid11,none,post,1.015,26.409,37.517,9.109,41.246,35.063,33.966,138.594,41.374,1.015,26.409,37.517
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,Gadot,p1,mc,fid11,none,post,0.023,24.643,37.985,12.542,43.12,32.558,33.688,146.035,32.034,0.023,24.643,37.985
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,GAJWANI,p1,mc,fid11,none,post,3.826,24.914,38.06,14.148,42.713,32.896,28.288,148.491,29.638,3.826,24.914,38.06
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,EGBULONU,p2,mc,fid11,right,post,0,1.193,298.189,3.471,1.811,1.601,0,276.207,21.489,300,1.193,298.189
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,ESTRELLADO,p2,mc,fid11,right,post,0,4.842,298.337,3.342,1.663,1.523,0,272.438,16.192,300,4.842,298.337
mc_post_fid11_p2_FER300NDES_largeMale_right_bernice_LS.csv,18,FER300NDES,p2,mc,fid11,right,post,0,0.327,297.956,3.404,2.003,1.634,0,268.436,24.187,300,0.327,297.956
mc_post_fid11_p2_Gadot_largeMale_right_bernice_LS.csv,10,Gadot,p2,mc,fid11,right,post,0,0.023,298.225,3.201,1.775,1.871,0,274.713,18.417,300,0.023,298.225
mc_post_fid11_p2_GAJWANI_largeMale_right_bernice_LS.csv,10,GAJWANI,p2,mc,fid11,right,post,0,1.739,298.414,3.337,1.586,1.818,0,277.707,13.813,300,1.739,298.414
mc_post_fid11_p3_EGBULONU_largeMale_left_bernice_LS.csv,30,EGBULONU,p3,mc,fid11,left,post,0.653,54.576,11.6,7.744,60.995,17.574,11.745,183.897,18.017,0.653,54.576,11.6
mc_post_fid11_p3_ESTRELLADO_largeMale_left_bernice_LS.csv,48,ESTRELLADO,p3,mc,fid11,left,post,4.234,54.918,12.243,13.614,53.725,22.951,6.411,181.414,17.915,4.234,54.918,12.243
mc_post_fid11_p3_FER300NDES_largeMale_left_bernice_LS.csv,44,FER300NDES,p3,mc,fid11,left,post,0.32,54.009,11.598,10.678,52.222,25.742,10.345,181.592,19.421,0.32,54.009,11.598
mc_post_fid11_p3_Gadot_largeMale_left_bernice_LS.csv,35,Gadot,p3,mc,fid11,left,post,3.155,54.008,11.564,9.345,57.928,20.011,8.145,183.735,17.681,3.155,54.008,11.564
mc_post_fid11_p3_GAJWANI_largeMale_left_bernice_LS.csv,33,GAJWANI,p3,mc,fid11,left,post,51.62,54.017,12.109,13.62,56.592,19.483,0.8,184.321,18.881,51.62,54.017,12.109
