experiment,fishID,half,code,prePost,largeMalePosition,fishName,treatment,totalTime,number_transits
mc,fid11,p2,left screen,post,right,bernice,LS.csv,1.7749999999999773,12
mc,fid11,p2,left screen,pre,left,bernice,LS.csv,24.955500000000008,37.5
mc,fid11,p2,left side,post,right,bernice,LS.csv,1.6340000000000146,12
mc,fid11,p2,left side,pre,left,bernice,LS.csv,22.82449999999999,37.5
mc,fid11,p2,plant,pre,left,bernice,LS.csv,10.279500000000002,37.5
mc,fid11,p2,right screen,post,right,bernice,LS.csv,274.71299999999997,12
mc,fid11,p2,right screen,pre,left,bernice,LS.csv,201.875,37.5
mc,fid11,p2,right side,post,right,bernice,LS.csv,18.41700000000003,12
mc,fid11,p2,right side,pre,left,bernice,LS.csv,29.624000000000024,37.5
mc,fid11,p3,center,post,left,bernice,LS.csv,10.67799999999999,35
mc,fid11,p3,left screen,post,left,bernice,LS.csv,56.592000000000006,35
mc,fid11,p3,left side,post,left,bernice,LS.csv,20.010999999999996,35
mc,fid11,p3,plant,post,left,bernice,LS.csv,8.144999999999998,35
mc,fid11,p3,right screen,post,left,bernice,LS.csv,183.735,35
mc,fid11,p3,right screen,pre,right,bernice,LS.csv,297.3165,7
mc,fid11,p3,right side,post,left,bernice,LS.csv,18.017000000000017,35
mc,fid11,p3,right side,pre,right,bernice,LS.csv,3.996999999999945,11
mc,fid12,p1,center,post,none,andrea,SS.csv,30.69400000000002,24
mc,fid12,p1,left screen,post,none,andrea,SS.csv,6.27300000000001,24
mc,fid12,p1,left side,post,none,andrea,SS.csv,23.724999999999966,24
mc,fid12,p1,plant,post,none,andrea,SS.csv,195.52599999999998,24
mc,fid12,p1,right screen,post,none,andrea,SS.csv,10.942999999999955,24
mc,fid12,p1,right side,post,none,andrea,SS.csv,33.898999999999994,24
mc,fid12,p2,center,post,right,andrea,SS.csv,16.014999999999993,18
mc,fid12,p2,left screen,post,right,andrea,SS.csv,18.522,18
mc,fid12,p2,left side,post,right,andrea,SS.csv,47.346,18
mc,fid12,p2,plant,post,right,andrea,SS.csv,202.81599999999997,18
mc,fid12,p2,right screen,post,right,andrea,SS.csv,3.4720000000000084,18
mc,fid12,p2,right side,post,right,andrea,SS.csv,11.379000000000019,18
mc,fid12,p3,center,post,left,andrea,SS.csv,5.874000000000015,19
mc,fid12,p3,left screen,post,left,andrea,SS.csv,257.99199999999996,19
mc,fid12,p3,left side,post,left,andrea,SS.csv,18.046999999999993,19
mc,fid12,p3,plant,post,left,andrea,SS.csv,17.352,19
mc,fid13,p1,center,post,none,ava,LL.csv,22.57800000000001,76
mc,fid13,p1,center,pre,none,ava,LL.csv,24.943500000000004,76
mc,fid13,p1,left screen,post,none,ava,LL.csv,79.10499999999999,76
mc,fid13,p1,left screen,pre,none,ava,LL.csv,70.30250000000004,76
mc,fid13,p1,left side,post,none,ava,LL.csv,50.14999999999998,76
mc,fid13,p1,left side,pre,none,ava,LL.csv,35.90299999999992,76
mc,fid13,p1,plant,post,none,ava,LL.csv,39.36099999999998,76
mc,fid13,p1,plant,pre,none,ava,LL.csv,5.719999999999992,76
mc,fid13,p1,right screen,post,none,ava,LL.csv,61.934000000000005,76
mc,fid13,p1,right screen,pre,none,ava,LL.csv,120.15199999999997,76
mc,fid13,p1,right side,post,none,ava,LL.csv,45.21699999999997,76
