filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,plant,62.72600000000001,mc,fid1,barbie,LL.csv,p1,BAO,none,post
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,right screen,168.25799999999998,mc,fid1,barbie,LL.csv,p1,BAO,none,post
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,right side,18.48300000000002,mc,fid1,barbie,LL.csv,p1,BAO,none,post
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,center,22.95799999999999,mc,fid1,barbie,LL.csv,p1,cornish,none,post
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,left side,24.827000000000012,mc,fid1,barbie,LL.csv,p1,cornish,none,post
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,plant,63.694,mc,fid1,barbie,LL.csv,p1,cornish,none,post
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,right screen,170.48299999999998,mc,fid1,barbie,LL.csv,p1,cornish,none,post
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,right side,16.816000000000017,mc,fid1,barbie,LL.csv,p1,cornish,none,post
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,center,16.020000000000003,mc,fid1,barbie,LL.csv,p1,CUI,none,post
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,left side,24.58699999999999,mc,fid1,barbie,LL.csv,p1,CUI,none,post
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,plant,63.03100000000002,mc,fid1,barbie,LL.csv,p1,CUI,none,post
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,right screen,169.56400000000002,mc,fid1,barbie,LL.csv,p1,CUI,none,post
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,right side,17.742999999999967,mc,fid1,barbie,LL.csv,p1,CUI,none,post
mc_post_fid1_p2_ADAMS_largeMale_right_barbie_LL.csv,13,right screen,291.14599999999996,mc,fid1,barbie,LL.csv,p2,ADAMS,right,post
mc_post_fid1_p2_ADAMS_largeMale_right_barbie_LL.csv,13,right side,8.807000000000052,mc,fid1,barbie,LL.csv,p2,ADAMS,right,post
mc_post_fid1_p2_BALLARD_largeMale_right_barbie_LL.csv,13,right screen,287.4880000000001,mc,fid1,barbie,LL.csv,p2,BALLARD,right,post
mc_post_fid1_p2_BALLARD_largeMale_right_barbie_LL.csv,13,right side,12.278999999999911,mc,fid1,barbie,LL.csv,p2,BALLARD,right,post
mc_post_fid1_p2_BAO_largeMale_right_barbie_LL.csv,15,right screen,288.122,mc,fid1,barbie,LL.csv,p2,BAO,right,post
mc_post_fid1_p2_BAO_largeMale_right_barbie_LL.csv,15,right side,10.947999999999965,mc,fid1,barbie,LL.csv,p2,BAO,right,post
mc_post_fid1_p2_cornish_largeMale_right_barbie_LL.csv,1,right screen,296.836,mc,fid1,barbie,LL.csv,p2,cornish,right,post
mc_post_fid1_p2_CUI_largeMale_right_barbie_LL.csv,1,right screen,299.027,mc,fid1,barbie,LL.csv,p2,CUI,right,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,center,10.94700000000006,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,left screen,8.804000000000002,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,left side,20.29099999999997,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,plant,6.2050000000000125,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,right screen,207.02199999999988,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,right side,46.708000000000084,mc,fid1,barbie,LL.csv,p3,ADAMS,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,center,9.613,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,left screen,9.071999999999974,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,left side,23.492999999999995,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,plant,8.541000000000025,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,right screen,201.938,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,right side,46.97300000000003,mc,fid1,barbie,LL.csv,p3,BALLARD,left,post
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,center,7.473000000000013,mc,fid1,barbie,LL.csv,p3,BAO,left,post
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,left screen,8.67300000000003,mc,fid1,barbie,LL.csv,p3,BAO,left,post
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,left side,20.01299999999995,mc,fid1,barbie,LL.csv,p3,BAO,left,post
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,plant,14.425999999999988,mc,fid1,barbie,LL.csv,p3,BAO,left,post
