filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_post_fid1_p1_ADAMS_largeMale_none_barbie_LL.csv,16,ADAMS,p1,mc,fid1,none,post,24.262,0,24.557,63.26,170.409,16.817
mc_post_fid1_p1_BALLARD_largeMale_none_barbie_LL.csv,19,BALLARD,p1,mc,fid1,none,post,25.189,1.331,22.96,62.564,168.568,19.357
mc_post_fid1_p1_BAO_largeMale_none_barbie_LL.csv,17,BAO,p1,mc,fid1,none,post,25.685,0,24.825,62.726,168.367,18.483
mc_post_fid1_p1_cornish_largeMale_none_barbie_LL.csv,15,cornish,p1,mc,fid1,none,post,22.958,0,24.827,63.694,170.592,16.816
mc_post_fid1_p1_CUI_largeMale_none_barbie_LL.csv,15,CUI,p1,mc,fid1,none,post,16.02,0,24.587,63.031,169.591,17.743
mc_post_fid1_p2_ADAMS_largeMale_right_barbie_LL.csv,13,ADAMS,p2,mc,fid1,right,post,0,0,0,0,291.151,8.807
mc_post_fid1_p2_BALLARD_largeMale_right_barbie_LL.csv,13,BALLARD,p2,mc,fid1,right,post,0,0,0,0,287.592,12.279
mc_post_fid1_p2_BAO_largeMale_right_barbie_LL.csv,15,BAO,p2,mc,fid1,right,post,0,0,0,0,288.122,10.948
mc_post_fid1_p2_cornish_largeMale_right_barbie_LL.csv,1,cornish,p2,mc,fid1,right,post,0,0,0,0,296.836,0
mc_post_fid1_p2_CUI_largeMale_right_barbie_LL.csv,1,CUI,p2,mc,fid1,right,post,0,0,0,0,299.131,0
mc_post_fid1_p3_ADAMS_largeMale_left_barbie_LL.csv,42,ADAMS,p3,mc,fid1,left,post,10.947,8.804,20.291,6.205,207.022,47.414
mc_post_fid1_p3_BALLARD_largeMale_left_barbie_LL.csv,49,BALLARD,p3,mc,fid1,left,post,9.613,9.072,23.493,8.541,202.041,47.677
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,BAO,p3,mc,fid1,left,post,7.473,8.673,20.013,14.426,204.06,45.784
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,cornish,p3,mc,fid1,left,post,5.333,11.477,16.823,15.752,216.777,33.426
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,CUI,p3,mc,fid1,left,post,7.21,8.272,23.248,9.885,215.335,35.225
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,ADAMS,p1,mc,fid10,none,post,26.782,140.941,38.709,27.814,38.435,27.201
mc_post_fid10_p1_BALLARD_largeMale_none_alyssa_INT.csv,53,BALLARD,p1,mc,fid10,none,post,22.42,144.677,37.373,29.628,38.439,26.594
mc_post_fid10_p1_BAO_largeMale_none_alyssa_INT.csv,53,BAO,p1,mc,fid10,none,post,27.523,141.743,37.636,26.864,37.365,28.439
mc_post_fid10_p1_cornish_largeMale_none_alyssa_INT.csv,46,cornish,p1,mc,fid10,none,post,10.511,157.129,23.448,38.621,43.37,24.249
mc_post_fid10_p1_CUI_largeMale_none_alyssa_INT.csv,45,CUI,p1,mc,fid10,none,post,17.092,152.156,32.833,29.63,38.882,27.54
mc_post_fid10_p2_ADAMS_largeMale_right_alyssa_INT.csv,17,ADAMS,p2,mc,fid10,right,post,0,2.674,2.544,1.335,169.44,123.386
mc_post_fid10_p2_BALLARD_largeMale_right_alyssa_INT.csv,28,BALLARD,p2,mc,fid10,right,post,0,3.671,1.602,1.334,271.971,20.822
mc_post_fid10_p2_BAO_largeMale_right_alyssa_INT.csv,28,BAO,p2,mc,fid10,right,post,0.864,2.667,2.538,0.532,271.74,19.957
mc_post_fid10_p2_cornish_largeMale_right_alyssa_INT.csv,7,cornish,p2,mc,fid10,right,post,0,3.052,0.62,1.827,286.098,7.067
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,CUI,p2,mc,fid10,right,post,0,3.367,1.338,1.333,280.915,10.945
mc_post_fid10_p3_Rotholz_largeMale_left_alyssa_INT.csv,12,Rotholz,p3,mc,fid10,left,post,0,0,0,0,291.079,8.541
mc_post_fid10_p3_SANCHEZ_largeMale_left_alyssa_INT.csv,3,SANCHEZ,p3,mc,fid10,left,post,0,0,0,0,294.87,2.131
mc_post_fid10_p3_VASQUEZ_largeMale_left_alyssa_INT.csv,5,VASQUEZ,p3,mc,fid10,left,post,0,0,0,0,297.498,2.135
mc_post_fid10_p3_Waindim_largeMale_left_alyssa_INT.csv,1,Waindim,p3,mc,fid10,left,post,0,0,0,0,299.134,0
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,EGBULONU,p1,mc,fid11,none,post,8.147,42.974,36.837,30.662,150.036,28.826
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,ESTRELLADO,p1,mc,fid11,none,post,17.998,41.642,32.83,25.969,93.83,37.745
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,FERNANDES,p1,mc,fid11,none,post,9.109,41.246,35.063,33.966,138.608,41.374
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,Gadot,p1,mc,fid11,none,post,12.542,43.12,32.558,33.688,146.456,32.034
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,GAJWANI,p1,mc,fid11,none,post,14.148,42.713,32.896,28.288,148.808,29.638
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,EGBULONU,p2,mc,fid11,right,post,3.471,2.435,1.601,0,276.207,21.489
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,ESTRELLADO,p2,mc,fid11,right,post,3.342,2.123,1.523,0,272.438,16.192
mc_post_fid11_p2_FERNANDES_largeMale_right_bernice_LS.csv,18,FERNANDES,p2,mc,fid11,right,post,3.404,2.003,1.634,0,268.436,24.187
mc_post_fid11_p2_Gadot_largeMale_right_bernice_LS.csv,10,Gadot,p2,mc,fid11,right,post,3.201,1.869,2.313,0,274.713,18.417
mc_post_fid11_p2_GAJWANI_largeMale_right_bernice_LS.csv,10,GAJWANI,p2,mc,fid11,right,post,3.337,1.828,2.122,0,277.707,13.813
mc_post_fid11_p3_EGBULONU_largeMale_left_bernice_LS.csv,30,EGBULONU,p3,mc,fid11,left,post,7.744,60.995,17.574,11.745,184.455,18.017
mc_post_fid11_p3_ESTRELLADO_largeMale_left_bernice_LS.csv,48,ESTRELLADO,p3,mc,fid11,left,post,13.614,53.725,22.951,6.411,181.752,17.915
mc_post_fid11_p3_FERNANDES_largeMale_left_bernice_LS.csv,44,FERNANDES,p3,mc,fid11,left,post,10.678,52.222,25.742,10.345,182.157,19.421
mc_post_fid11_p3_Gadot_largeMale_left_bernice_LS.csv,35,Gadot,p3,mc,fid11,left,post,9.345,57.928,20.011,8.145,184.388,17.681
mc_post_fid11_p3_GAJWANI_largeMale_left_bernice_LS.csv,33,GAJWANI,p3,mc,fid11,left,post,13.62,56.592,19.483,0.8,184.974,18.881
mc_post_fid12_p1_EGBULONU_largeMale_none_andrea_SS.csv,20,EGBULONU,p1,mc,fid12,none,post,17.615,6.14,23.623,207.16,6.937,36.444
mc_post_fid12_p1_ESTRELLADO_largeMale_none_andrea_SS.csv,35,ESTRELLADO,p1,mc,fid12,none,post,60.743,6.408,23.874,160.545,10.943,32.036
mc_post_fid12_p1_FERNANDES_largeMale_none_andrea_SS.csv,24,FERNANDES,p1,mc,fid12,none,post,17.483,6.273,23.725,208.255,11.645,31.764
mc_post_fid12_p1_Gadot_largeMale_none_andrea_SS.csv,30,Gadot,p1,mc,fid12,none,post,30.694,6.405,22.161,195.526,11.209,33.899
mc_post_fid12_p1_GAJWANI_largeMale_none_andrea_SS.csv,23,GAJWANI,p1,mc,fid12,none,post,31.749,5.338,24.557,188.129,6.14,37.105
mc_post_fid12_p2_EGBULONU_largeMale_right_andrea_SS.csv,17,EGBULONU,p2,mc,fid12,right,post,5.871,18.419,47.381,212.109,3.603,11.48
mc_post_fid12_p2_ESTRELLADO_largeMale_right_andrea_SS.csv,25,ESTRELLADO,p2,mc,fid12,right,post,19.238,19.754,47.781,197.043,5.608,8.411
mc_post_fid12_p2_FERNANDES_largeMale_right_andrea_SS.csv,18,FERNANDES,p2,mc,fid12,right,post,8.109,17.785,47.346,211.454,3.47,11.379
mc_post_fid12_p2_Gadot_largeMale_right_andrea_SS.csv,18,Gadot,p2,mc,fid12,right,post,16.55,19.221,46.442,202.926,3.472,11.476
mc_post_fid12_p2_GAJWANI_largeMale_right_andrea_SS.csv,18,GAJWANI,p2,mc,fid12,right,post,16.015,18.522,46.444,200.325,3.47,10.142
mc_post_fid12_p3_EGBULONU_largeMale_left_andrea_SS.csv,19,EGBULONU,p3,mc,fid12,left,post,3.87,257.992,18.182,17.352,0,0
mc_post_fid12_p3_ESTRELLADO_largeMale_left_andrea_SS.csv,24,ESTRELLADO,p3,mc,fid12,left,post,10.46,255.547,18.831,14.622,0,0
mc_post_fid12_p3_FERNANDES_largeMale_left_andrea_SS.csv,25,FERNANDES,p3,mc,fid12,left,post,1.869,251.189,24.407,21.755,0,0
mc_post_fid12_p3_Gadot_largeMale_left_andrea_SS.csv,16,Gadot,p3,mc,fid12,left,post,6.94,260.529,14.512,17.931,0,0
mc_post_fid12_p3_GAJWANI_largeMale_left_andrea_SS.csv,15,GAJWANI,p3,mc,fid12,left,post,5.874,261.088,12.756,11.904,0,0
mc_post_fid13_p1_EGBULONU_largeMale_none_ava_LL.csv,78,EGBULONU,p1,mc,fid13,none,post,13.883,79.142,50.15,45.924,58.328,49.911
mc_post_fid13_p1_ESTRELLADO_largeMale_none_ava_LL.csv,84,ESTRELLADO,p1,mc,fid13,none,post,46.494,79.105,46.459,21.877,61.934,42.176
mc_post_fid13_p1_FERNANDEs_largeMale_none_ava_LL.csv,75,FERNANDEs,p1,mc,fid13,none,post,17.318,75.969,53.326,45.813,63.024,44.14
mc_post_fid13_p1_Gadot_largeMale_none_ava_LL.csv,73,Gadot,p1,mc,fid13,none,post,28.138,81.945,49.913,30.696,64.068,45.346
mc_post_fid13_p1_GAJWANI_largeMale_none_ava_LL.csv,76,GAJWANI,p1,mc,fid13,none,post,22.578,78.218,50.95,39.361,59.824,46.491
mc_post_fid13_p2_EGBULONU_largeMale_right_ava_LL.csv,69,EGBULONU,p2,mc,fid13,right,post,19.213,89.092,61.359,20.822,58.06,51.579
mc_post_fid13_p2_ESTRELLADO_largeMale_right_ava_LL.csv,70,ESTRELLADO,p2,mc,fid13,right,post,45.923,99.726,48.34,2.668,56.058,45.034
mc_post_fid13_p2_FERNANDES_largeMale_right_ava_LL.csv,68,FERNANDES,p2,mc,fid13,right,post,35.473,92.998,55.195,10.412,58.565,47.228
mc_post_fid13_p2_Gadot_largeMale_right_ava_LL.csv,64,Gadot,p2,mc,fid13,right,post,41.107,98.5,49.818,3.737,61.66,42.959
mc_post_fid13_p2_GAJWANI_largeMale_right_ava_LL.csv,69,GAJWANI,p2,mc,fid13,right,post,35.505,94.212,54.959,8.008,58.455,46.717
mc_post_fid13_p3_EGBULONU_largeMale_left_ava_LL.csv,51,EGBULONU,p3,mc,fid13,left,post,6.139,169.247,49.641,29.233,9.076,36.566
mc_post_fid13_p3_ESTRELLADO_largeMale_left_ava_LL.csv,50,ESTRELLADO,p3,mc,fid13,left,post,19.343,164.073,53.048,19.083,13.993,28.291
mc_post_fid13_p3_FERNANDES_largeMale_left_ava_LL.csv,55,FERNANDES,p3,mc,fid13,left,post,11.754,165.137,52.509,24.689,8.578,36.433
mc_post_fid13_p3_Gadot_largeMale_left_ava_LL.csv,54,Gadot,p3,mc,fid13,left,post,16.684,172.976,45.647,19.484,9.61,35.504
mc_post_fid13_p3_GAJWANI_largeMale_left_ava_LL.csv,26,GAJWANI,p3,mc,fid13,left,post,14.269,194.767,21.516,22.503,9.352,36.596
mc_post_fid14_p1_EGBULONU_largeMale_none_delfina_LS.csv,30,EGBULONU,p1,mc,fid14,none,post,0,49.25,6.404,2.002,228.536,14.073
mc_post_fid14_p1_ESTRELLADO_largeMale_none_delfina_LS.csv,28,ESTRELLADO,p1,mc,fid14,none,post,1.336,48.576,6.412,1.868,228.642,13.074
mc_post_fid14_p1_FERNANDES_largeMale_none_delfina_LS.csv,28,FERNANDES,p1,mc,fid14,none,post,2.4,48.852,6.67,0,226.926,15.416
