fishID,half,prePost,largeMalePosition,fishName,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid1,p1,post,none,barbie,16,12.625,102.021,0,24.262,0,24.587,63.031,169.564,17.743,12.625,102.021,300
fid1,p1,pre,none,barbie,29,6.138,38.373,3.904,9.498,167.87,17.447,39.004,48.048,16.008,6.138,38.373,3.904
fid1,p2,post,right,barbie,13,0,0.841,0,0,0,0,0,291.146,8.807,300,0.841,300
fid1,p2,pre,left,barbie,37,0,155.75,0.023,22.237,206.714,20.025,0,21.777,29.334,300,155.75,0.023
fid1,p3,post,left,barbie,42,215.721,0.475,201.409,7.473,8.804,20.291,9.885,207.022,44.88,215.721,0.475,201.409
fid1,p3,pre,right,barbie,23,0,0.066,299.82,19.646,0,13.304,0,242.815,21.94,300,0.066,299.82
fid10,p1,post,none,alyssa,53,0.973,54.293,10.214,22.42,144.677,37.373,29.628,38.439,27.201,0.973,54.293,10.214
fid10,p1,pre,none,alyssa,15.5,33.5085,3.3449999999999998,25.103,6.941000000000001,4.135999999999999,8.41,4.54,257.022,17.6585,33.5085,3.3449999999999998,25.103
fid10,p2,post,right,alyssa,17,294.043,1.326,296.747,0,3.052,1.602,1.334,271.971,19.957,294.043,1.326,296.747
fid10,p2,pre,right,alyssa,2.5,0,0.6255,0,0,0,0,0,298.4395,0.2685,300,0.6255,300
fid10,p3,post,left,alyssa,4,0,0.6475,0,0,0,0,0,292.948,2.133,300,0.6475,300
fid10,p3,pre,left,alyssa,3,0,0.1025,0,0,0,0,0,291.6345,8.275,300,0.1025,300
fid11,p1,post,none,bernice,61,2.983,26.409,38.06,12.542,42.713,32.896,30.662,146.035,32.034,2.983,26.409,38.06
fid11,p1,pre,none,bernice,54.5,261.0945,19.647,35.03,27.1925,137.8555,58.402,19.8465,18.252000000000002,35.086,261.0945,19.647,35.03
fid11,p2,post,right,bernice,12,0,1.193,298.225,3.342,1.775,1.634,0,272.438,18.417,300,1.193,298.225
fid11,p2,pre,left,bernice,37.5,5.471,0.2575,11.346,10.677499999999998,24.9555,22.8245,10.279499999999999,201.875,29.624000000000002,5.471,0.2575,11.346
